Grupo Vehiculo;Placa;digito;Codigo SII;Año Vehículo;Tasacion;Tipo de Pago;Valor_Neto;Valor_IPC;Valor_Multa;Valor Pagado;Forma Pago;Fecha_Pago;Año Permiso;Tipo Vehiculo;Marca;Modelo;Color;Transmisión;Tipo Combustible;Cilindrada;Equipamiento;Numero Puertas
Vehiculo Liviano;CPFJ-86;1;SD132009310;2010;1895076;Presencial;17147;242;738;18127;1ra. Cuota;19-06-2024;2024;AUTOMOVIL;KIA MOTORS;RIO;PLATEADO;Mec;Benc;1400;Norm;4
Carga;GRZT-48;7;NULL;2016;0,5;Presencial;37305;1142;4437;42884;Total;19-06-2024;2023;TRACTOR;EUROPARD;TE 254;ROJO;NULL;NULL;NULL;NULL;0
Vehiculo Liviano;YW-2245;8;HB229009207;2007;1321743;Presencial;34295;485;1477;36257;Total;19-06-2024;2024;AUTOMOVIL;SUZUKI;ALTO;BLANCO;Mec;Benc;800;Norm;4
Vehiculo Liviano;WG-2957;3;HB079011107;2007;2762150;Presencial;39839;1637;7317;48793;Total;19-06-2024;2023;AUTOMOVIL;FORD;FIESTA;AZUL METALICO;Mec;Benc;1600;Equi;4
Vehiculo Liviano;WG-2957;3;HB079011107;2007;2734529;Presencial;34295;485;1477;36257;Total;19-06-2024;2024;AUTOMOVIL;FORD;FIESTA;AZUL METALICO;Mec;Benc;1600;Equi;4
Vehiculo Liviano;KFS-044;6;NULL;2020;3500000;Presencial;37124;525;1599;39248;Total;19-06-2024;2024;Moto;ZOGSHEN;RX3S;BLANCO;NULL;NULL;NULL;NULL;0
Transporte Publico;TW-9447;9;NULL;2007;1;Presencial;66757;327;987;68071;Total;21-06-2024;2024;MINIBUS ESCOLAR;HYUNDAI;H1 SVX2.5;AMARILLO;MEC;DIES;2500;EQUI;0
Vehiculo Liviano;VK-2594;3;SU132003303;2003;2007938;Presencial;51509;7009;19011;77529;Total;21-06-2024;2021;AUTOMOVIL;KIA MOTORS;CARENS 1.8 LX MT 4X2;ROJO PURO;Mec;Benc;1800;Equi;4
Vehiculo Liviano;VK-2594;3;SU132003303;2003;1947700;Presencial;45283;5009;13053;63345;Total;21-06-2024;2022;AUTOMOVIL;KIA MOTORS;CARENS 1.8 LX MT 4X2;ROJO PURO;Mec;Benc;1800;Equi;4
Vehiculo Liviano;VK-2594;3;SU132003303;2003;1928223;Presencial;39839;1637;7317;48793;Total;21-06-2024;2023;AUTOMOVIL;KIA MOTORS;CARENS 1.8 LX MT 4X2;ROJO PURO;Mec;Benc;1800;Equi;4
Vehiculo Liviano;VK-2594;3;SU132003303;2003;1908941;Presencial;34295;485;1477;36257;Total;21-06-2024;2024;AUTOMOVIL;KIA MOTORS;CARENS 1.8 LX MT 4X2;ROJO PURO;Mec;Benc;1800;Equi;4
Vehiculo Liviano;LSTY-51;4;SD235024820;2020;8117972;Presencial;67428;954;2904;71286;1ra. Cuota;21-06-2024;2024;AUTOMOVIL;TOYOTA;YARIS;GRIS OSCURO MET;Mec;Benc;1500;NULL;4
Vehiculo Liviano;YJ-3734;7;SD235014605;2005;2221152;Presencial;34295;485;1477;36257;Total;21-06-2024;2024;AUTOMOVIL;TOYOTA;COROLLA;ROJO MICA;Mec;Benc;1600;Full;4
Vehiculo Liviano;GGVS-49;0;CT243002514;2014;9249427;Presencial;170858;2416;7358;180632;Total;21-06-2024;2024;CAMIONETA;VOLKSWAGEN;AMAROK;PLATEADO PLATA;Mec;Dies;2000;Full;4
Carga;JC-5823;K;NULL;1989;1,5;Internet;105713;1995;8729;116437;Total;22-06-2024;2023;SEMI REMOLQUE;TREMAC;S/M;BLANCO;NULL;NULL;NULL;NULL;0
